	wavname	expcode	dialoguenr	trialnr	code_conditie_send	code_overlap_send	code_blok	code_item	code_tempo	code_conditie	code_overlap				
1	1_1_4c_425_Mi_Ar.wav	0	0	1	2509	4695	230	78	96	211	98	10	20	40	60
2	1_1_5c_425_Mi_Ar.wav	0	1	1	2444	4643	240	78	196	221	198	10	20	40	60
3	3_1_22a_525_Ko_Ja.wav	0	0	2	4014	6679	230	87	97	211	99	10	20	40	60
4	3_1_23a_525_Ko_Ja.wav	0	1	2	4055	6608	240	87	197	221	199	10	20	40	60
5	1_3_13a_525_Ko_Mi.wav	0	0	3	3107	5820	230	83	97	213	98	10	20	40	60
6	1_3_14a_525_Ko_Mi.wav	0	1	3	3067	5631	240	83	197	223	198	10	20	40	60
7	3_3_7a_425_Ar_Ja.wav	0	0	4	3449	5733	230	80	96	213	99	10	20	40	60
8	3_3_8a_425_Ar_Ja.wav	1	1	4	3488	5649	240	80	196	223	199	10	20	40	60
9	1_3_15d_525_Mi_Ko.wav	0	0	5	3090	5866	231	83	97	213	98	10	20	40	60
10	1_3_13d_525_Mi_Ko.wav	0	1	5	3084	5669	241	83	197	223	198	10	20	40	60
11	1_2_49d_525_Mi_Ro.wav	0	0	6	2779	5487	231	91	97	212	98	10	20	40	60
12	1_2_50d_525_Mi_Ro.wav	0	1	6	2841	5549	241	91	197	222	198	10	20	40	60
13	1_1_4c_525_Mi_Ar.wav	0	0	7	3008	5593	231	78	97	211	98	10	20	40	60
14	1_1_5c_525_Mi_Ar.wav	0	1	7	2944	5543	241	78	197	221	198	10	20	40	60
15	1_3_31c_525_Ja_Ro.wav	0	0	8	3091	5722	231	92	97	213	98	10	20	40	60
16	1_3_32c_525_Ja_Ro.wav	0	1	8	3078	5884	241	92	197	223	198	10	20	40	60
17	1_1_10d_525_Ja_Ar.wav	0	0	9	2935	5638	231	81	97	211	98	10	20	40	60
18	1_1_11d_525_Ja_Ar.wav	0	1	9	2950	5646	241	81	197	221	198	10	20	40	60
19	1_3_19a_525_Ko_Ja.wav	0	0	10	3092	5697	231	86	97	213	98	10	20	40	60
20	1_3_20a_525_Ko_Ja.wav	0	1	10	3100	5652	241	86	197	223	198	10	20	40	60
21	1_2_37b_525_Ar_Mi.wav	0	0	11	2862	5492	231	79	97	212	98	10	20	40	60
22	1_2_38b_525_Ar_Mi.wav	0	1	11	2780	5450	241	79	197	222	198	10	20	40	60
23	1_1_34d_525_Ja_Ro.wav	0	0	12	2988	5617	231	93	97	211	98	10	20	40	60
24	1_1_35d_525_Ja_Ro.wav	0	1	12	2979	5617	241	93	197	221	198	10	20	40	60
25	1_2_52a_525_Ro_Ja.wav	0	0	13	2765	5323	231	94	97	212	98	10	20	40	60
26	1_2_53a_525_Ro_Ja.wav	3	1	13	2785	5493	241	94	197	222	198	10	20	40	60
27	1_3_7c_525_Ja_Ar.wav	0	0	14	3129	5813	232	80	97	213	98	10	20	40	60
28	1_3_8c_525_Ja_Ar.wav	0	1	14	3168	5729	242	80	197	223	198	10	20	40	60
29	1_2_46c_525_Ja_Ko.wav	0	0	15	2767	5475	232	88	97	212	98	10	20	40	60
30	1_2_47c_525_Ja_Ko.wav	0	1	15	2853	5561	242	88	197	222	198	10	20	40	60
31	1_3_25b_525_Ro_Mi.wav	0	0	16	3049	5645	232	89	97	213	98	10	20	40	60
32	1_3_26b_525_Ro_Mi.wav	0	1	16	3089	5692	242	89	197	223	198	10	20	40	60
33	1_1_16a_525_Ko_Mi.wav	0	0	17	3005	5576	232	84	97	211	98	10	20	40	60
34	1_1_17a_525_Ko_Mi.wav	0	1	17	2973	5610	242	84	197	221	198	10	20	40	60
35	1_1_22b_525_Ko_Ja.wav	0	0	18	3014	5646	232	87	97	211	98	10	20	40	60
36	1_1_23b_525_Ko_Ja.wav	0	1	18	2938	5600	242	87	197	221	198	10	20	40	60
37	1_2_40a_525_Ar_Ja.wav	0	0	19	2785	5493	232	82	97	212	98	10	20	40	60
38	1_2_41a_525_Ar_Ja.wav	0	1	19	2820	5418	242	82	197	222	198	10	20	40	60
39	1_1_28c_525_Mi_Ro.wav	0	0	20	2898	5553	232	90	97	211	98	10	20	40	60
40	1_1_29c_525_Mi_Ro.wav	0	1	20	2978	5549	242	90	197	221	198	10	20	40	60
41	1_3_1b_525_Ar_Mi.wav	0	0	21	3028	5782	232	77	97	213	98	10	20	40	60
42	1_3_2b_525_Ar_Mi.wav	0	1	21	3130	5803	242	77	197	223	198	10	20	40	60
43	1_2_43b_525_Ko_Mi.wav	0	0	22	2815	5446	232	85	97	212	98	10	20	40	60
44	1_2_45b_525_Ko_Mi.wav	3	1	22	2769	5389	242	85	197	222	198	10	20	40	60
45	3_2_49b_525_Ro_Mi.wav	0	0	23	3829	6537	233	91	97	212	99	10	20	40	60
46	3_2_50b_525_Ro_Mi.wav	0	1	23	3891	6599	243	91	197	222	199	10	20	40	60
47	3_3_1d_525_Mi_Ar.wav	0	0	24	4078	6832	233	77	97	213	99	10	20	40	60
48	3_3_2d_525_Mi_Ar.wav	0	1	24	4180	6853	243	77	197	223	199	10	20	40	60
49	3_3_15b_525_Ko_Mi.wav	0	0	25	4140	6916	233	83	97	213	99	10	20	40	60
50	3_3_13b_525_Ko_Mi.wav	0	1	25	4134	6719	243	83	197	223	199	10	20	40	60
51	3_1_10b_525_Ar_Ja.wav	0	0	26	3985	6688	233	81	97	211	99	10	20	40	60
52	3_1_11b_525_Ar_Ja.wav	0	1	26	4000	6696	243	81	197	221	199	10	20	40	60
53	3_2_37b_525_Ar_Mi.wav	0	0	27	3912	6542	233	79	97	212	99	10	20	40	60
54	3_2_38b_525_Ar_Mi.wav	0	1	27	3830	6500	243	79	197	222	199	10	20	40	60
55	3_1_22d_525_Ja_Ko.wav	0	0	28	4064	6696	233	87	97	211	99	10	20	40	60
56	3_1_23d_525_Ja_Ko.wav	0	1	28	3988	6650	243	87	197	221	199	10	20	40	60
57	3_2_46a_525_Ko_Ja.wav	0	0	29	3817	6525	233	88	97	212	99	10	20	40	60
58	3_2_47a_525_Ko_Ja.wav	0	1	29	3903	6611	243	88	197	222	199	10	20	40	60
59	3_2_40c_525_Ja_Ar.wav	0	0	30	3835	6543	233	82	97	212	99	10	20	40	60
60	3_2_41c_525_Ja_Ar.wav	0	1	30	3870	6468	243	82	197	222	199	10	20	40	60
61	3_2_43d_525_Mi_Ko.wav	0	0	31	3865	6496	233	85	97	212	99	10	20	40	60
62	3_2_45d_525_Mi_Ko.wav	3	1	31	3819	6439	243	85	197	222	199	10	20	40	60
63	3_1_34b_525_Ro_Ja.wav	0	0	32	4038	6667	234	93	97	211	99	10	20	40	60
64	3_1_35b_525_Ro_Ja.wav	0	1	32	4029	6667	244	93	197	221	199	10	20	40	60
65	3_1_16c_525_Mi_Ko.wav	0	0	33	4055	6626	234	84	97	211	99	10	20	40	60
66	3_1_17c_525_Mi_Ko.wav	0	1	33	4023	6660	244	84	197	221	199	10	20	40	60
