play_nr	wav_name	exp_code	part_nr	trial_nr	time_transition	time_duration	code_block	code_dialogue	code_tempo	code_turn_transition	code_overlap	left_left_border	left_right_border	right_left_border	right_right_border
1	1_2_22c_525_Ja_Ko.wav	0	0	1	2806	5471	230	87	97	212	98	5	15	30	40
2	1_2_23c_525_Ja_Ko.wav	0	1	1	2847	5400	240	87	197	222	198	5	15	30	40
3	3_2_28a_425_Ro_Mi.wav	0	0	2	3120	5375	230	90	96	212	99	25	35	80	90
4	3_2_29a_425_Ro_Mi.wav	0	1	2	3200	5371	240	90	196	222	199	25	35	80	90
5	1_2_34d_425_Ja_Ro.wav	0	0	3	2360	4589	230	93	96	212	98	35	45	70	80
6	1_2_35d_425_Ja_Ro.wav	0	1	3	2351	4589	240	93	196	222	198	35	45	70	80
7	3_2_4b_525_Ar_Mi.wav	0	0	4	3836	6496	230	78	97	212	99	55	65	80	90
8	3_2_5b_525_Ar_Mi.wav	1	1	4	3824	6395	240	78	197	222	199	55	65	80	90
9	1_2_28b_425_Ro_Mi.wav	0	0	5	2300	4499	231	90	96	212	98	5	15	30	40
10	1_2_29b_425_Ro_Mi.wav	0	1	5	2260	4522	241	90	196	222	198	5	15	30	40
11	1_2_16d_425_Mi_Ko.wav	0	0	6	2316	4509	231	84	96	212	98	5	15	30	40
12	1_2_17d_425_Mi_Ko.wav	0	1	6	2385	4528	241	84	196	222	198	5	15	30	40
13	1_3_41d_425_Ja_Ar.wav	0	0	7	2565	4794	231	82	96	213	98	5	15	30	40
14	1_3_42d_425_Ja_Ar.wav	0	1	7	2647	4877	241	82	196	223	198	5	15	30	40
15	1_3_37c_425_Mi_Ar.wav	0	0	8	2562	4759	231	79	96	213	98	5	15	30	40
16	1_3_38c_425_Mi_Ar.wav	0	1	8	2632	4803	241	79	196	223	198	5	15	30	40
17	1_3_48b_425_Ko_Ja.wav	0	0	9	2641	4896	231	88	96	213	98	5	15	40	50
18	1_3_46b_425_Ko_Ja.wav	0	1	9	2527	4742	241	88	196	223	198	5	15	40	50
19	1_1_21d_425_Ja_Ko.wav	0	0	10	2425	4645	231	86	96	211	98	5	15	40	50
20	1_1_19d_425_Ja_Ko.wav	0	1	10	2513	4706	241	86	196	221	198	5	15	40	50
21	1_3_52d_425_Ja_Ro.wav	0	0	11	2591	4861	231	94	96	213	98	5	15	40	50
22	1_3_54d_425_Ja_Ro.wav	0	1	11	2548	4807	241	94	196	223	198	5	15	40	50
23	1_1_25a_425_Ro_Mi.wav	0	0	12	2473	4758	231	89	96	211	98	5	15	40	50
24	1_1_26a_425_Ro_Mi.wav	0	1	12	2470	4588	241	89	196	221	198	5	15	40	50
25	1_2_34c_425_Ja_Ro.wav	0	0	13	2264	4527	231	93	96	212	98	5	15	50	60
26	1_2_35c_425_Ja_Ro.wav	3	1	13	2325	4495	241	93	196	222	198	5	15	50	60
27	1_1_31b_425_Ro_Ja.wav	0	0	14	2520	4646	232	92	96	211	98	5	15	50	60
28	1_1_32b_425_Ro_Ja.wav	0	1	14	2388	4595	242	92	196	221	198	5	15	50	60
29	1_2_10c_425_Ja_Ar.wav	0	0	15	2310	4564	232	81	96	212	98	5	15	50	60
30	1_2_11c_425_Ja_Ar.wav	0	1	15	2345	4606	242	81	196	222	198	5	15	50	60
31	1_3_43a_425_Ko_Mi.wav	0	0	16	2565	4750	232	85	96	213	98	5	15	50	60
32	1_3_44a_425_Ko_Mi.wav	0	1	16	2600	4842	242	85	196	223	198	5	15	50	60
33	1_1_1a_425_Ar_Mi.wav	0	0	17	2448	4611	232	77	96	211	98	5	15	60	70
34	1_1_2a_425_Ar_Mi.wav	0	1	17	2451	4659	242	77	196	221	198	5	15	60	70
35	1_2_4b_425_Ar_Mi.wav	0	0	18	2317	4577	232	78	96	212	98	5	15	60	70
36	1_2_5b_425_Ar_Mi.wav	0	1	18	2304	4475	242	78	196	222	198	5	15	60	70
37	1_2_22a_425_Ko_Ja.wav	0	0	19	2336	4601	232	87	96	212	98	5	15	60	70
38	1_2_23a_425_Ko_Ja.wav	0	1	19	2377	4530	242	87	196	222	198	5	15	60	70
