play_nr	wav_name	exp_code	part_nr	trial_nr	time_transition	time_duration	code_block	code_dialogue	code_tempo	code_turn_transition	code_overlap	left_left_border	left_right_border	right_left_border	right_right_border
1	1_1_41b_425_Ar_Ja.wav	0	0	1	2438	4667	230	82	96	211	98	5	15	30	40
2	1_1_42b_425_Ar_Ja.wav	0	1	1	2520	4750	240	82	196	221	198	5	15	30	40
3	1_1_52c_525_Ja_Ro.wav	0	0	2	2923	5481	230	94	97	211	98	25	35	80	90
4	1_1_53c_525_Ja_Ro.wav	0	1	2	2943	5651	240	94	197	221	198	25	35	80	90
5	3_2_31b_425_Ro_Ja.wav	0	0	3	3242	5368	230	92	96	212	99	35	45	70	80
6	3_2_32b_425_Ro_Ja.wav	0	1	3	3110	5317	240	92	196	222	199	35	45	70	80
7	3_3_22b_525_Ko_Ja.wav	0	0	4	4221	6853	230	87	97	213	99	55	65	80	90
8	3_3_23b_525_Ko_Ja.wav	1	1	4	4145	6807	240	87	197	223	199	55	65	80	90
9	3_2_19c_425_Ja_Ko.wav	0	0	5	3157	5362	231	86	96	212	99	5	15	30	40
10	3_2_20c_425_Ja_Ko.wav	0	1	5	3165	5317	241	86	196	222	199	5	15	30	40
11	3_1_52c_425_Ja_Ro.wav	0	0	6	3273	5431	231	94	96	211	99	5	15	30	40
12	3_1_53c_425_Ja_Ro.wav	0	1	6	3293	5513	241	94	196	221	199	5	15	30	40
13	3_3_10b_425_Ar_Ja.wav	0	0	7	3412	5715	231	81	96	213	99	5	15	30	40
14	3_3_11b_425_Ar_Ja.wav	0	1	7	3427	5723	241	81	196	223	199	5	15	30	40
15	3_2_31a_425_Ro_Ja.wav	0	0	8	3156	5387	231	92	96	212	99	5	15	30	40
16	3_2_32a_425_Ro_Ja.wav	0	1	8	3165	5571	241	92	196	222	199	5	15	30	40
17	3_3_34b_425_Ro_Ja.wav	0	0	9	3465	5694	231	93	96	213	99	5	15	40	50
18	3_3_35b_425_Ro_Ja.wav	0	1	9	3456	5694	241	93	196	223	199	5	15	40	50
19	3_3_4a_425_Ar_Mi.wav	0	0	10	3485	5670	231	78	96	213	99	5	15	40	50
20	3_3_5a_425_Ar_Mi.wav	0	1	10	3421	5620	241	78	196	223	199	5	15	40	50
21	3_1_40c_425_Ja_Ar.wav	0	0	11	3293	5548	231	82	96	211	99	5	15	40	50
22	3_1_41c_425_Ja_Ar.wav	0	1	11	3328	5526	241	82	196	221	199	5	15	40	50
23	3_1_37b_425_Ar_Mi.wav	0	0	12	3370	5600	231	79	96	211	99	5	15	40	50
24	3_1_38b_425_Ar_Mi.wav	0	1	12	3288	5558	241	79	196	221	199	5	15	40	50
25	3_3_22d_425_Ja_Ko.wav	0	0	13	3491	5723	231	87	96	213	99	5	15	50	60
26	3_3_23d_425_Ja_Ko.wav	3	1	13	3415	5677	241	87	196	223	199	5	15	50	60
27	3_3_28a_425_Ro_Mi.wav	0	0	14	3375	5630	232	90	96	213	99	5	15	50	60
28	3_3_29a_425_Ro_Mi.wav	0	1	14	3455	5626	242	90	196	223	199	5	15	50	60
29	3_2_7a_425_Ar_Ja.wav	0	0	15	3194	5478	232	80	96	212	99	5	15	50	60
30	3_2_8a_425_Ar_Ja.wav	0	1	15	3233	5394	242	80	196	222	199	5	15	50	60
31	3_3_16c_425_Mi_Ko.wav	0	0	16	3482	5653	232	84	96	213	99	5	15	50	60
32	3_3_17c_425_Mi_Ko.wav	0	1	16	3450	5687	242	84	196	223	199	5	15	50	60
33	3_2_15b_425_Ko_Mi.wav	0	0	17	3155	5531	232	83	96	212	99	5	15	60	70
34	3_2_13b_425_Ko_Mi.wav	0	1	17	3149	5334	242	83	196	222	199	5	15	60	70
35	3_1_46a_425_Ko_Ja.wav	0	0	18	3275	5410	232	88	96	211	99	5	15	60	70
36	3_1_47a_425_Ko_Ja.wav	0	1	18	3361	5666	242	88	196	221	199	5	15	60	70
37	3_1_43d_425_Mi_Ko.wav	0	0	19	3323	5554	232	85	96	211	99	5	15	60	70
38	3_1_45d_425_Mi_Ko.wav	0	1	19	3277	5497	242	85	196	221	199	5	15	60	70
39	3_2_1d_425_Mi_Ar.wav	0	0	20	3093	5447	232	77	96	212	99	5	15	60	70
40	3_2_2d_425_Mi_Ar.wav	0	1	20	3195	5468	242	77	196	222	199	5	15	60	70
41	3_1_49b_425_Ro_Mi.wav	0	0	21	3287	5583	232	91	96	211	99	15	25	40	50
42	3_1_50b_425_Ro_Mi.wav	0	1	21	3349	5576	242	91	196	221	199	15	25	40	50
43	3_2_25d_425_Mi_Ro.wav	0	0	22	3114	5310	232	89	96	212	99	15	25	40	50
