play_nr	wav_name	exp_code	part_nr	trial_nr	time_transition	time_duration	code_block	code_dialogue	code_tempo	code_turn_transition	code_overlap	left_left_border	left_right_border	right_left_border	right_right_border
1	3_1_19a_425_Ko_Ja.wav	0	0	1	3285	5490	230	86	96	211	99	5	15	30	40
2	3_1_20a_425_Ko_Ja.wav	0	1	1	3293	5445	240	86	196	221	199	5	15	30	40
3	3_3_41b_525_Ar_Ja.wav	0	0	2	4145	6774	230	82	97	213	99	25	35	80	90
4	3_3_42b_525_Ar_Ja.wav	0	1	2	4227	6857	240	82	197	223	199	25	35	80	90
5	1_2_22d_425_Ja_Ko.wav	0	0	3	2386	4618	230	87	96	212	98	35	45	70	80
6	1_2_23d_425_Ja_Ko.wav	0	1	3	2310	4572	240	87	196	222	198	35	45	70	80
7	1_2_28b_525_Ro_Mi.wav	0	0	4	2770	5369	230	90	97	212	98	55	65	80	90
8	1_2_29b_525_Ro_Mi.wav	1	1	4	2730	5392	240	90	197	222	198	55	65	80	90
9	3_1_13c_425_Mi_Ko.wav	0	0	5	3300	5613	231	83	96	211	99	5	15	30	40
10	3_1_14c_425_Mi_Ko.wav	0	1	5	3260	5424	241	83	196	221	199	5	15	30	40
11	3_3_48b_425_Ko_Ja.wav	0	0	6	3491	5746	231	88	96	213	99	5	15	30	40
12	3_3_46b_425_Ko_Ja.wav	0	1	6	3377	5592	241	88	196	223	199	5	15	30	40
13	3_1_31b_425_Ro_Ja.wav	0	0	7	3370	5496	231	92	96	211	99	5	15	30	40
14	3_1_32b_425_Ro_Ja.wav	0	1	7	3238	5445	241	92	196	221	199	5	15	30	40
15	3_1_7b_425_Ar_Ja.wav	0	0	8	3270	5630	231	80	96	211	99	5	15	30	40
16	3_1_8b_425_Ar_Ja.wav	0	1	8	3300	5495	241	80	196	221	199	5	15	30	40
17	3_3_43a_425_Ko_Mi.wav	0	0	9	3415	5600	231	85	96	213	99	5	15	40	50
18	3_3_44a_425_Ko_Mi.wav	0	1	9	3450	5692	241	85	196	223	199	5	15	40	50
19	3_3_37c_425_Mi_Ar.wav	0	0	10	3412	5609	231	79	96	213	99	5	15	40	50
20	3_3_38c_425_Mi_Ar.wav	0	1	10	3482	5653	241	79	196	223	199	5	15	40	50
21	3_2_22a_425_Ko_Ja.wav	0	0	11	3186	5451	231	87	96	212	99	5	15	40	50
22	3_2_23a_425_Ko_Ja.wav	0	1	11	3227	5380	241	87	196	222	199	5	15	40	50
23	3_1_25a_425_Ro_Mi.wav	0	0	12	3323	5608	231	89	96	211	99	5	15	40	50
24	3_1_26a_425_Ro_Mi.wav	0	1	12	3320	5438	241	89	196	221	199	5	15	40	50
25	3_3_52d_425_Ja_Ro.wav	0	0	13	3441	5711	231	94	96	213	99	5	15	50	60
26	3_3_54d_425_Ja_Ro.wav	3	1	13	3398	5657	241	94	196	223	199	5	15	50	60
27	3_1_21d_425_Ja_Ko.wav	0	0	14	3275	5495	232	86	96	211	99	5	15	50	60
28	3_1_19d_425_Ja_Ko.wav	0	1	14	3363	5556	242	86	196	221	199	5	15	50	60
29	3_2_28b_425_Ro_Mi.wav	0	0	15	3150	5349	232	90	96	212	99	5	15	50	60
30	3_2_29b_425_Ro_Mi.wav	0	1	15	3110	5372	242	90	196	222	199	5	15	50	60
31	3_1_1a_425_Ar_Mi.wav	0	0	16	3298	5461	232	77	96	211	99	5	15	50	60
32	3_1_2a_425_Ar_Mi.wav	0	1	16	3301	5509	242	77	196	221	199	5	15	50	60
33	3_2_10c_425_Ja_Ar.wav	0	0	17	3160	5414	232	81	96	212	99	5	15	60	70
34	3_2_11c_425_Ja_Ar.wav	0	1	17	3195	5456	242	81	196	222	199	5	15	60	70
35	3_3_41d_425_Ja_Ar.wav	0	0	18	3415	5644	232	82	96	213	99	5	15	60	70
36	3_3_42d_425_Ja_Ar.wav	0	1	18	3497	5727	242	82	196	223	199	5	15	60	70
37	3_2_34c_425_Ja_Ro.wav	0	0	19	3114	5377	232	93	96	212	99	5	15	60	70
38	3_2_35c_425_Ja_Ro.wav	0	1	19	3175	5345	242	93	196	222	199	5	15	60	70
39	3_2_4b_425_Ar_Mi.wav	0	0	20	3167	5427	232	78	96	212	99	5	15	60	70
40	3_2_5b_425_Ar_Mi.wav	0	1	20	3154	5325	242	78	196	222	199	5	15	60	70
41	3_2_16d_425_Mi_Ko.wav	0	0	21	3166	5359	232	84	96	212	99	15	25	40	50
42	3_2_17d_425_Mi_Ko.wav	0	1	21	3235	5378	242	84	196	222	199	15	25	40	50
43	3_3_51c_425_Mi_Ro.wav	0	0	22	3414	5722	232	91	96	213	99	15	25	40	50
44	3_3_49c_425_Mi_Ro.wav	3	1	22	3401	5530	242	91	196	223	199	15	25	40	50
45	3_2_4c_525_Mi_Ar.wav	0	0	23	3900	6485	233	78	97	212	99	15	25	40	50
46	3_2_5c_525_Mi_Ar.wav	0	1	23	3836	6435	243	78	197	222	199	15	25	40	50
47	3_1_19a_525_Ko_Ja.wav	0	0	24	3985	6590	233	86	97	211	99	15	25	40	50
48	3_1_20a_525_Ko_Ja.wav	0	1	24	3993	6545	243	86	197	221	199	15	25	40	50
49	3_1_31c_525_Ja_Ro.wav	0	0	25	3984	6615	233	92	97	211	99	15	25	50	60
50	3_1_32c_525_Ja_Ro.wav	0	1	25	3971	6777	243	92	197	221	199	15	25	50	60
51	3_1_25b_525_Ro_Mi.wav	0	0	26	3942	6538	233	89	97	211	99	15	25	50	60
52	3_1_26b_525_Ro_Mi.wav	0	1	26	3982	6585	243	89	197	221	199	15	25	50	60
53	3_2_28c_525_Mi_Ro.wav	0	0	27	3790	6445	233	90	97	212	99	15	25	50	60
54	3_2_29c_525_Mi_Ro.wav	0	1	27	3870	6441	243	90	197	222	199	15	25	50	60
55	3_3_52a_525_Ro_Ja.wav	0	0	28	4130	6688	233	94	97	213	99	15	25	50	60
56	3_3_53a_525_Ro_Ja.wav	0	1	28	4150	6858	243	94	197	223	199	15	25	50	60
57	3_1_15d_525_Mi_Ko.wav	0	0	29	3983	6759	233	83	97	211	99	15	25	60	70
58	3_1_13d_525_Mi_Ko.wav	0	1	29	3977	6562	243	83	197	221	199	15	25	60	70
59	3_3_40a_525_Ar_Ja.wav	0	0	30	4150	6858	233	82	97	213	99	15	25	60	70
60	3_3_41a_525_Ar_Ja.wav	0	1	30	4185	6783	243	82	197	223	199	15	25	60	70
61	3_2_10d_525_Ja_Ar.wav	0	0	31	3827	6530	233	81	97	212	99	15	25	60	70
62	3_2_11d_525_Ja_Ar.wav	3	1	31	3842	6538	243	81	197	222	199	15	25	60	70
63	3_1_7c_525_Ja_Ar.wav	0	0	32	4022	6706	234	80	97	211	99	15	25	60	70
64	3_1_8c_525_Ja_Ar.wav	0	1	32	4061	6622	244	80	197	221	199	15	25	60	70
65	3_3_46c_525_Ja_Ko.wav	0	0	33	4132	6840	234	88	97	213	99	15	25	70	80
66	3_3_47c_525_Ja_Ko.wav	0	1	33	4218	6926	244	88	197	223	199	15	25	70	80
67	3_2_34d_525_Ja_Ro.wav	0	0	34	3880	6509	234	93	97	212	99	15	25	70	80
68	3_2_35d_525_Ja_Ro.wav	0	1	34	3871	6509	244	93	197	222	199	15	25	70	80
69	3_3_49d_525_Mi_Ro.wav	0	0	35	4144	6852	234	91	97	213	99	15	25	70	80
70	3_3_50d_525_Mi_Ro.wav	0	1	35	4206	6914	244	91	197	223	199	15	25	70	80
71	3_2_22b_525_Ko_Ja.wav	0	0	36	3906	6538	234	87	97	212	99	15	25	70	80
72	3_2_23b_525_Ko_Ja.wav	0	1	36	3830	6492	244	87	197	222	199	15	25	70	80
73	3_3_37d_525_Mi_Ar.wav	0	0	37	4227	6857	234	79	97	213	99	25	35	50	60
74	3_3_38d_525_Mi_Ar.wav	0	1	37	4145	6815	244	79	197	223	199	25	35	50	60
75	3_1_1b_525_Ar_Mi.wav	0	0	38	3921	6675	234	77	97	211	99	25	35	50	60
76	3_1_2b_525_Ar_Mi.wav	0	1	38	4023	6696	244	77	197	221	199	25	35	50	60
77	3_2_16a_525_Ko_Mi.wav	0	0	39	3897	6468	234	84	97	212	99	25	35	50	60
