play_nr	wav_name	exp_code	part_nr	trial_nr	time_transition	time_duration	code_block	code_dialogue	code_tempo	code_turn_transition	code_overlap	left_left_border	left_right_border	right_left_border	right_right_border
1	3_3_34b_525_Ro_Ja.wav	0	0	1	4195	6824	230	93	97	213	99	5	15	30	40
2	3_3_35b_525_Ro_Ja.wav	0	1	1	4186	6824	240	93	197	223	199	5	15	30	40
3	1_3_28b_425_Ro_Mi.wav	0	0	2	2555	4754	230	90	96	213	98	25	35	80	90
4	1_3_29b_425_Ro_Mi.wav	0	1	2	2515	4777	240	90	196	223	198	25	35	80	90
5	3_3_4d_425_Mi_Ar.wav	0	0	3	3422	5682	230	78	96	213	99	35	45	70	80
6	3_3_5d_425_Mi_Ar.wav	0	1	3	3409	5580	240	78	196	223	199	35	45	70	80
7	1_3_34d_525_Ja_Ro.wav	0	0	4	3145	5774	230	93	97	213	98	55	65	80	90
8	1_3_35d_525_Ja_Ro.wav	1	1	4	3136	5774	240	93	197	223	198	55	65	80	90
9	3_1_19a_425_Ko_Ja.wav	0	0	5	3285	5490	231	86	96	211	99	5	15	30	40
10	3_1_20a_425_Ko_Ja.wav	0	1	5	3293	5445	241	86	196	221	199	5	15	30	40
11	3_1_31c_425_Ja_Ro.wav	0	0	6	3284	5515	231	92	96	211	99	5	15	30	40
12	3_1_32c_425_Ja_Ro.wav	0	1	6	3293	5699	241	92	196	221	199	5	15	30	40
13	3_1_15d_425_Mi_Ko.wav	0	0	7	3283	5659	231	83	96	211	99	5	15	30	40
14	3_1_13d_425_Mi_Ko.wav	0	1	7	3277	5462	241	83	196	221	199	5	15	30	40
15	3_3_46c_425_Ja_Ko.wav	0	0	8	3402	5537	231	88	96	213	99	5	15	30	40
16	3_3_47c_425_Ja_Ko.wav	0	1	8	3488	5793	241	88	196	223	199	5	15	30	40
17	3_1_7c_425_Ja_Ar.wav	0	0	9	3322	5606	231	80	96	211	99	5	15	40	50
18	3_1_8c_425_Ja_Ar.wav	0	1	9	3361	5522	241	80	196	221	199	5	15	40	50
19	3_2_28c_425_Mi_Ro.wav	0	0	10	3120	5375	231	90	96	212	99	5	15	40	50
20	3_2_29c_425_Mi_Ro.wav	0	1	10	3200	5371	241	90	196	222	199	5	15	40	50
21	3_2_10d_425_Ja_Ar.wav	0	0	11	3157	5460	231	81	96	212	99	5	15	40	50
22	3_2_11d_425_Ja_Ar.wav	0	1	11	3172	5468	241	81	196	222	199	5	15	40	50
23	3_2_16a_425_Ko_Mi.wav	0	0	12	3227	5398	231	84	96	212	99	5	15	40	50
24	3_2_17a_425_Ko_Mi.wav	0	1	12	3195	5432	241	84	196	222	199	5	15	40	50
25	3_2_34d_425_Ja_Ro.wav	0	0	13	3210	5439	231	93	96	212	99	5	15	50	60
26	3_2_35d_425_Ja_Ro.wav	3	1	13	3201	5439	241	93	196	222	199	5	15	50	60
27	3_3_49d_425_Mi_Ro.wav	0	0	14	3414	5710	232	91	96	213	99	5	15	50	60
28	3_3_50d_425_Mi_Ro.wav	0	1	14	3476	5703	242	91	196	223	199	5	15	50	60
29	3_1_25b_425_Ro_Mi.wav	0	0	15	3242	5438	232	89	96	211	99	5	15	50	60
30	3_1_26b_425_Ro_Mi.wav	0	1	15	3282	5485	242	89	196	221	199	5	15	50	60
31	3_3_37d_425_Mi_Ar.wav	0	0	16	3497	5727	232	79	96	213	99	5	15	50	60
32	3_3_38d_425_Mi_Ar.wav	0	1	16	3415	5685	242	79	196	223	199	5	15	50	60
33	3_3_40a_425_Ar_Ja.wav	0	0	17	3420	5675	232	82	96	213	99	5	15	60	70
34	3_3_41a_425_Ar_Ja.wav	0	1	17	3455	5653	242	82	196	223	199	5	15	60	70
35	3_2_22b_425_Ko_Ja.wav	0	0	18	3236	5468	232	87	96	212	99	5	15	60	70
36	3_2_23b_425_Ko_Ja.wav	0	1	18	3160	5422	242	87	196	222	199	5	15	60	70
37	3_3_52a_425_Ro_Ja.wav	0	0	19	3400	5558	232	94	96	213	99	5	15	60	70
38	3_3_53a_425_Ro_Ja.wav	0	1	19	3420	5640	242	94	196	223	199	5	15	60	70
39	3_1_1b_425_Ar_Mi.wav	0	0	20	3221	5575	232	77	96	211	99	5	15	60	70
40	3_1_2b_425_Ar_Mi.wav	0	1	20	3323	5596	242	77	196	221	199	5	15	60	70
41	3_3_43b_425_Ko_Mi.wav	0	0	21	3450	5681	232	85	96	213	99	15	25	40	50
42	3_3_45b_425_Ko_Mi.wav	0	1	21	3404	5624	242	85	196	223	199	15	25	40	50
43	3_2_4c_425_Mi_Ar.wav	0	0	22	3231	5417	232	78	96	212	99	15	25	40	50
44	3_2_5c_425_Mi_Ar.wav	3	1	22	3166	5365	242	78	196	222	199	15	25	40	50
45	3_3_41b_525_Ar_Ja.wav	0	0	23	4145	6774	233	82	97	213	99	15	25	40	50
46	3_3_42b_525_Ar_Ja.wav	0	1	23	4227	6857	243	82	197	223	199	15	25	40	50
47	3_1_31d_525_Ja_Ro.wav	0	0	24	4070	6596	233	92	97	211	99	15	25	40	50
48	3_1_32d_525_Ja_Ro.wav	0	1	24	4003	6610	243	92	197	221	199	15	25	40	50
49	3_1_25c_525_Mi_Ro.wav	0	0	25	4023	6708	233	89	97	211	99	15	25	50	60
50	3_1_26c_525_Mi_Ro.wav	0	1	25	4020	6538	243	89	197	221	199	15	25	50	60
51	3_1_21b_525_Ko_Ja.wav	0	0	26	3975	6595	233	86	97	211	99	15	25	50	60
52	3_1_19b_525_Ko_Ja.wav	0	1	26	4063	6656	243	86	197	221	199	15	25	50	60
53	3_2_34a_525_Ro_Ja.wav	0	0	27	3784	6447	233	93	97	212	99	15	25	50	60
54	3_2_35a_525_Ro_Ja.wav	0	1	27	3845	6415	243	93	197	222	199	15	25	50	60
55	3_2_22c_525_Ja_Ko.wav	0	0	28	3856	6521	233	87	97	212	99	15	25	50	60
