	wavname	expcode	dialoguenr	trialnr	code_conditie_send	code_overlap_send	code_blok	code_item	code_tempo	code_conditie	code_overlap				
61	3_2_37c_425_Mi_Ar.wav	0	0	31	3157	5354	233	79	96	212	99	10	20	40	60
62	3_2_38c_425_Mi_Ar.wav	3	1	31	3227	5398	243	79	196	222	199	10	20	40	60
63	3_1_28b_425_Ro_Mi.wav	0	0	32	3278	5477	234	90	96	211	99	10	20	40	60
64	3_1_29b_425_Ro_Mi.wav	0	1	32	3238	5500	244	90	196	221	199	10	20	40	60
65	3_1_4b_425_Ar_Mi.wav	0	0	33	3295	5555	234	78	96	211	99	10	20	40	60
66	3_1_5b_425_Ar_Mi.wav	0	1	33	3282	5453	244	78	196	221	199	10	20	40	60
67	3_1_10c_425_Ja_Ar.wav	0	0	34	3288	5542	234	81	96	211	99	10	20	40	60
68	3_1_11c_425_Ja_Ar.wav	0	1	34	3323	5584	244	81	196	221	199	10	20	40	60
69	3_3_13c_425_Mi_Ko.wav	0	0	35	3427	5740	234	83	96	213	99	10	20	40	60
70	3_3_14c_425_Mi_Ko.wav	0	1	35	3387	5551	244	83	196	223	199	10	20	40	60
71	3_1_16d_425_Mi_Ko.wav	0	0	36	3294	5487	234	84	96	211	99	10	20	40	60
72	3_1_17d_425_Mi_Ko.wav	0	1	36	3363	5506	244	84	196	221	199	10	20	40	60
73	3_2_51c_425_Mi_Ro.wav	0	0	37	3159	5467	234	91	96	212	99	10	20	40	60
74	3_2_49c_425_Mi_Ro.wav	0	1	37	3146	5275	244	91	196	222	199	10	20	40	60
75	3_2_48b_425_Ko_Ja.wav	0	0	38	3236	5491	234	88	96	212	99	10	20	40	60
76	3_2_46b_425_Ko_Ja.wav	0	1	38	3122	5337	244	88	196	222	199	10	20	40	60
77	3_3_31b_425_Ro_Ja.wav	0	0	39	3497	5623	234	92	96	213	99	10	20	40	60
78	3_3_32b_425_Ro_Ja.wav	0	1	39	3365	5572	244	92	196	223	199	10	20	40	60
79	3_1_22a_425_Ko_Ja.wav	0	0	40	3314	5579	234	87	96	211	99	10	20	40	60
80	3_1_23a_425_Ko_Ja.wav	3	1	40	3355	5508	244	87	196	221	199	10	20	40	60
81	1_1_4d_425_Mi_Ar.wav	0	0	41	2445	4705	235	78	96	211	98	10	20	40	60
82	1_1_5d_425_Mi_Ar.wav	0	1	41	2432	4603	245	78	196	221	198	10	20	40	60
83	1_2_51a_425_Ro_Mi.wav	0	0	42	2309	4617	235	91	96	212	98	10	20	40	60
84	1_2_49a_425_Ro_Mi.wav	0	1	42	2296	4425	245	91	196	222	198	10	20	40	60
85	1_1_22c_425_Ja_Ko.wav	0	0	43	2464	4729	235	87	96	211	98	10	20	40	60
86	1_1_23c_425_Ja_Ko.wav	0	1	43	2505	4658	245	87	196	221	198	10	20	40	60
87	1_3_31d_425_Ja_Ro.wav	0	0	44	2647	4773	235	92	96	213	98	10	20	40	60
88	1_3_32d_425_Ja_Ro.wav	0	1	44	2515	4722	245	92	196	223	198	10	20	40	60
89	1_3_7d_425_Ja_Ar.wav	0	0	45	2547	4907	235	80	96	213	98	10	20	40	60
90	1_3_8d_425_Ja_Ar.wav	0	1	45	2577	4772	245	80	196	223	198	10	20	40	60
91	1_2_43c_425_Mi_Ko.wav	0	0	46	2310	4495	235	85	96	212	98	10	20	40	60
92	1_2_44c_425_Mi_Ko.wav	0	1	46	2345	4587	245	85	196	222	198	10	20	40	60
93	1_3_25c_425_Mi_Ro.wav	0	0	47	2600	4885	235	89	96	213	98	10	20	40	60
94	1_3_26c_425_Mi_Ro.wav	0	1	47	2597	4715	245	89	196	223	198	10	20	40	60
95	1_1_10a_425_Ar_Ja.wav	0	0	48	2438	4692	235	81	96	211	98	10	20	40	60
96	1_1_11a_425_Ar_Ja.wav	0	1	48	2473	4734	245	81	196	221	198	10	20	40	60
97	1_3_21b_425_Ko_Ja.wav	0	0	49	2552	4772	235	86	96	213	98	10	20	40	60
98	1_3_19b_425_Ko_Ja.wav	3	1	49	2640	4833	245	86	196	223	198	10	20	40	60
99	1_1_16b_425_Ko_Mi.wav	0	0	50	2444	4637	236	84	96	211	98	10	20	40	60
100	1_1_17b_425_Ko_Mi.wav	0	1	50	2513	4656	246	84	196	221	198	10	20	40	60
101	1_2_52b_425_Ro_Ja.wav	0	0	51	2591	4861	236	94	96	212	98	10	20	40	60
102	1_2_54b_425_Ro_Ja.wav	0	1	51	2548	4807	246	94	196	222	198	10	20	40	60
103	1_2_48d_425_Ja_Ko.wav	0	0	52	2386	4641	236	88	96	212	98	10	20	40	60
104	1_2_46d_425_Ja_Ko.wav	0	1	52	2272	4487	246	88	196	222	198	10	20	40	60
105	1_1_28d_425_Mi_Ro.wav	0	0	53	2428	4627	236	90	96	211	98	10	20	40	60
106	1_1_29d_425_Mi_Ro.wav	0	1	53	2388	4650	246	90	196	221	198	10	20	40	60
107	1_3_1c_425_Mi_Ar.wav	0	0	54	2575	4738	236	77	96	213	98	10	20	40	60
108	1_3_2c_425_Mi_Ar.wav	0	1	54	2578	4786	246	77	196	223	198	10	20	40	60
109	1_2_41b_425_Ar_Ja.wav	0	0	55	2310	4539	236	82	96	212	98	10	20	40	60
110	1_2_42b_425_Ar_Ja.wav	0	1	55	2392	4622	246	82	196	222	198	10	20	40	60
111	1_1_34a_425_Ro_Ja.wav	0	0	56	2392	4655	236	93	96	211	98	10	20	40	60
112	1_1_35a_425_Ro_Ja.wav	0	1	56	2453	4623	246	93	196	221	198	10	20	40	60
113	1_2_37a_425_Ar_Mi.wav	0	0	57	2307	4504	236	79	96	212	98	10	20	40	60
114	1_2_38a_425_Ar_Mi.wav	0	1	57	2377	4548	246	79	196	222	198	10	20	40	60
