play_nr	wav_name	exp_code	part_nr	trial_nr	time_transition	time_duration	code_block	code_dialogue	code_tempo	code_turn_transition	code_overlap	left_left_border	left_right_border	right_left_border	right_right_border
1	1_3_15d_525_Mi_Ko.wav	0	0	1	3090	5866	230	83	97	213	98	5	15	30	40
2	1_3_13d_525_Mi_Ko.wav	0	1	1	3084	5669	240	83	197	223	198	5	15	30	40
3	3_2_49b_525_Ro_Mi.wav	0	0	2	3829	6537	230	91	97	212	99	25	35	80	90
4	3_2_50b_525_Ro_Mi.wav	0	1	2	3891	6599	240	91	197	222	199	25	35	80	90
5	1_1_4b_425_Ar_Mi.wav	0	0	3	2445	4705	230	78	96	211	98	35	45	70	80
6	1_1_5b_425_Ar_Mi.wav	0	1	3	2432	4603	240	78	196	221	198	35	45	70	80
7	3_1_4d_425_Mi_Ar.wav	0	0	4	3295	5555	230	78	96	211	99	55	65	80	90
8	3_1_5d_425_Mi_Ar.wav	1	1	4	3282	5453	240	78	196	221	199	55	65	80	90
9	1_2_31a_425_Ro_Ja.wav	0	0	5	2306	4537	231	92	96	212	98	5	15	30	40
10	1_2_32a_425_Ro_Ja.wav	0	1	5	2315	4721	241	92	196	222	198	5	15	30	40
11	1_3_34b_425_Ro_Ja.wav	0	0	6	2615	4844	231	93	96	213	98	5	15	30	40
12	1_3_35b_425_Ro_Ja.wav	0	1	6	2606	4844	241	93	196	223	198	5	15	30	40
13	1_2_19c_425_Ja_Ko.wav	0	0	7	2307	4512	231	86	96	212	98	5	15	30	40
14	1_2_20c_425_Ja_Ko.wav	0	1	7	2315	4467	241	86	196	222	198	5	15	30	40
15	1_2_1d_425_Mi_Ar.wav	0	0	8	2243	4597	231	77	96	212	98	5	15	30	40
16	1_2_2d_425_Mi_Ar.wav	0	1	8	2345	4618	241	77	196	222	198	5	15	30	40
17	1_1_49b_425_Ro_Mi.wav	0	0	9	2437	4733	231	91	96	211	98	5	15	40	50
18	1_1_50b_425_Ro_Mi.wav	0	1	9	2499	4726	241	91	196	221	198	5	15	40	50
19	1_1_40c_425_Ja_Ar.wav	0	0	10	2443	4698	231	82	96	211	98	5	15	40	50
20	1_1_41c_425_Ja_Ar.wav	0	1	10	2478	4676	241	82	196	221	198	5	15	40	50
21	1_2_7a_425_Ar_Ja.wav	0	0	11	2344	4628	231	80	96	212	98	5	15	40	50
22	1_2_8a_425_Ar_Ja.wav	0	1	11	2383	4544	241	80	196	222	198	5	15	40	50
23	1_3_22d_425_Ja_Ko.wav	0	0	12	2641	4873	231	87	96	213	98	5	15	40	50
24	1_3_23d_425_Ja_Ko.wav	0	1	12	2565	4827	241	87	196	223	198	5	15	40	50
25	1_3_10b_425_Ar_Ja.wav	0	0	13	2562	4865	231	81	96	213	98	5	15	50	60
26	1_3_11b_425_Ar_Ja.wav	3	1	13	2577	4873	241	81	196	223	198	5	15	50	60
27	1_1_43d_425_Mi_Ko.wav	0	0	14	2473	4704	232	85	96	211	98	5	15	50	60
28	1_1_45d_425_Mi_Ko.wav	0	1	14	2427	4647	242	85	196	221	198	5	15	50	60
29	1_2_15b_425_Ko_Mi.wav	0	0	15	2305	4681	232	83	96	212	98	5	15	50	60
30	1_2_13b_425_Ko_Mi.wav	0	1	15	2299	4484	242	83	196	222	198	5	15	50	60
31	1_3_28a_425_Ro_Mi.wav	0	0	16	2525	4780	232	90	96	213	98	5	15	50	60
32	1_3_29a_425_Ro_Mi.wav	0	1	16	2605	4776	242	90	196	223	198	5	15	50	60
33	1_1_37b_425_Ar_Mi.wav	0	0	17	2520	4750	232	79	96	211	98	5	15	60	70
34	1_1_38b_425_Ar_Mi.wav	0	1	17	2438	4708	242	79	196	221	198	5	15	60	70
35	1_3_4a_425_Ar_Mi.wav	0	0	18	2635	4820	232	78	96	213	98	5	15	60	70
36	1_3_5a_425_Ar_Mi.wav	0	1	18	2571	4770	242	78	196	223	198	5	15	60	70
37	1_3_16c_425_Mi_Ko.wav	0	0	19	2632	4803	232	84	96	213	98	5	15	60	70
38	1_3_17c_425_Mi_Ko.wav	0	1	19	2600	4837	242	84	196	223	198	5	15	60	70
39	1_1_46a_425_Ko_Ja.wav	0	0	20	2425	4560	232	88	96	211	98	5	15	60	70
40	1_1_47a_425_Ko_Ja.wav	0	1	20	2511	4816	242	88	196	221	198	5	15	60	70
41	1_1_52c_425_Ja_Ro.wav	0	0	21	2423	4581	232	94	96	211	98	15	25	40	50
42	1_1_53c_425_Ja_Ro.wav	0	1	21	2443	4663	242	94	196	221	198	15	25	40	50
43	1_2_25d_425_Mi_Ro.wav	0	0	22	2264	4460	232	89	96	212	98	15	25	40	50
44	1_2_26d_425_Mi_Ro.wav	3	1	22	2304	4507	242	89	196	222	198	15	25	40	50
45	1_3_34c_525_Ja_Ro.wav	0	0	23	3049	5712	233	93	97	213	98	15	25	40	50
46	1_3_35c_525_Ja_Ro.wav	0	1	23	3110	5680	243	93	197	223	198	15	25	40	50
47	1_2_21d_525_Ja_Ko.wav	0	0	24	2767	5387	233	86	97	212	98	15	25	40	50
48	1_2_19d_525_Ja_Ko.wav	0	1	24	2855	5448	243	86	197	222	198	15	25	40	50
49	1_1_43a_525_Ko_Mi.wav	0	0	25	2938	5523	233	85	97	211	98	15	25	50	60
50	1_1_44a_525_Ko_Mi.wav	0	1	25	2973	5681	243	85	197	221	198	15	25	50	60
51	1_1_37a_525_Ar_Mi.wav	0	0	26	2935	5532	233	79	97	211	98	15	25	50	60
52	1_1_38a_525_Ar_Mi.wav	0	1	26	3005	5576	243	79	197	221	198	15	25	50	60
53	1_1_51c_525_Mi_Ro.wav	0	0	27	2937	5645	233	91	97	211	98	15	25	50	60
54	1_1_49c_525_Mi_Ro.wav	0	1	27	2923	5452	243	91	197	221	198	15	25	50	60
55	1_1_41d_525_Ja_Ar.wav	0	0	28	2938	5567	233	82	97	211	98	15	25	50	60
56	1_1_42d_525_Ja_Ar.wav	0	1	28	3020	5650	243	82	197	221	198	15	25	50	60
57	1_1_48b_525_Ko_Ja.wav	0	0	29	3014	5722	233	88	97	211	98	15	25	60	70
58	1_1_46b_525_Ko_Ja.wav	0	1	29	2899	5514	243	88	197	221	198	15	25	60	70
59	1_2_1a_525_Ar_Mi.wav	0	0	30	2790	5353	233	77	97	212	98	15	25	60	70
60	1_2_2a_525_Ar_Mi.wav	0	1	30	2793	5401	243	77	197	222	198	15	25	60	70
61	1_3_16d_525_Mi_Ko.wav	0	0	31	3101	5694	233	84	97	213	98	15	25	60	70
62	1_3_17d_525_Mi_Ko.wav	3	1	31	3170	5713	243	84	197	223	198	15	25	60	70
63	1_2_7b_525_Ar_Ja.wav	0	0	32	2762	5522	234	80	97	212	98	15	25	60	70
64	1_2_8b_525_Ar_Ja.wav	0	1	32	2792	5387	244	80	197	222	198	15	25	60	70
65	1_2_4b_525_Ar_Mi.wav	0	0	33	2786	5446	234	78	97	212	98	15	25	70	80
66	1_2_5b_525_Ar_Mi.wav	0	1	33	2774	5345	244	78	197	222	198	15	25	70	80
67	1_3_10c_525_Ja_Ar.wav	0	0	34	3095	5749	234	81	97	213	98	15	25	70	80
