	wavname	expcode	dialoguenr	trialnr	code_conditie_send	code_overlap_send	code_blok	code_item	code_tempo	code_conditie	code_overlap				
1	3_1_10d_525_Ja_Ar.wav	0	0	1	3985	6688	230	81	97	211	99	10	20	40	60
2	3_1_11d_525_Ja_Ar.wav	0	1	1	4000	6696	240	81	197	221	199	10	20	40	60
3	3_1_34c_425_Ja_Ro.wav	0	0	2	3242	5505	230	93	96	211	99	10	20	40	60
4	3_1_35c_425_Ja_Ro.wav	0	1	2	3303	5473	240	93	196	221	199	10	20	40	60
5	1_1_4d_425_Mi_Ar.wav	0	0	3	2445	4705	230	78	96	211	98	10	20	40	60
6	1_1_5d_425_Mi_Ar.wav	0	1	3	2432	4603	240	78	196	221	198	10	20	40	60
7	1_1_16c_525_Mi_Ko.wav	0	0	4	3005	5576	230	84	97	211	98	10	20	40	60
8	1_1_17c_525_Mi_Ko.wav	1	1	4	2973	5610	240	84	197	221	198	10	20	40	60
9	1_1_4c_425_Mi_Ar.wav	0	0	5	2509	4695	231	78	96	211	98	10	20	40	60
10	1_1_5c_425_Mi_Ar.wav	0	1	5	2444	4643	241	78	196	221	198	10	20	40	60
11	1_1_22b_425_Ko_Ja.wav	0	0	6	2514	4746	231	87	96	211	98	10	20	40	60
12	1_1_23b_425_Ko_Ja.wav	0	1	6	2438	4700	241	87	196	221	198	10	20	40	60
13	1_3_25b_425_Ro_Mi.wav	0	0	7	2519	4715	231	89	96	213	98	10	20	40	60
14	1_3_26b_425_Ro_Mi.wav	0	1	7	2559	4762	241	89	196	223	198	10	20	40	60
15	1_2_37d_425_Mi_Ar.wav	0	0	8	2392	4622	231	79	96	212	98	10	20	40	60
16	1_2_38d_425_Mi_Ar.wav	0	1	8	2310	4580	241	79	196	222	198	10	20	40	60
17	1_1_34d_425_Ja_Ro.wav	0	0	9	2488	4717	231	93	96	211	98	10	20	40	60
18	1_1_35d_425_Ja_Ro.wav	0	1	9	2479	4717	241	93	196	221	198	10	20	40	60
19	1_3_15d_425_Mi_Ko.wav	0	0	10	2560	4936	231	83	96	213	98	10	20	40	60
20	1_3_13d_425_Mi_Ko.wav	0	1	10	2554	4739	241	83	196	223	198	10	20	40	60
21	1_1_28c_425_Mi_Ro.wav	0	0	11	2398	4653	231	90	96	211	98	10	20	40	60
22	1_1_29c_425_Mi_Ro.wav	0	1	11	2478	4649	241	90	196	221	198	10	20	40	60
23	1_2_40a_425_Ar_Ja.wav	0	0	12	2315	4570	231	82	96	212	98	10	20	40	60
24	1_2_41a_425_Ar_Ja.wav	0	1	12	2350	4548	241	82	196	222	198	10	20	40	60
25	1_3_19a_425_Ko_Ja.wav	0	0	13	2562	4767	231	86	96	213	98	10	20	40	60
26	1_3_20a_425_Ko_Ja.wav	3	1	13	2570	4722	241	86	196	223	198	10	20	40	60
27	1_2_43b_425_Ko_Mi.wav	0	0	14	2345	4576	232	85	96	212	98	10	20	40	60
28	1_2_45b_425_Ko_Mi.wav	0	1	14	2299	4519	242	85	196	222	198	10	20	40	60
29	1_2_46c_425_Ja_Ko.wav	0	0	15	2297	4432	232	88	96	212	98	10	20	40	60
30	1_2_47c_425_Ja_Ko.wav	0	1	15	2383	4688	242	88	196	222	198	10	20	40	60
31	1_3_1b_425_Ar_Mi.wav	0	0	16	2498	4852	232	77	96	213	98	10	20	40	60
32	1_3_2b_425_Ar_Mi.wav	0	1	16	2600	4873	242	77	196	223	198	10	20	40	60
33	1_1_16a_425_Ko_Mi.wav	0	0	17	2505	4676	232	84	96	211	98	10	20	40	60
34	1_1_17a_425_Ko_Mi.wav	0	1	17	2473	4710	242	84	196	221	198	10	20	40	60
35	1_1_10d_425_Ja_Ar.wav	0	0	18	2438	4692	232	81	96	211	98	10	20	40	60
36	1_1_11d_425_Ja_Ar.wav	0	1	18	2450	4746	242	81	196	221	198	10	20	40	60
37	1_3_7c_425_Ja_Ar.wav	0	0	19	2599	4883	232	80	96	213	98	10	20	40	60
38	1_3_8c_425_Ja_Ar.wav	0	1	19	2638	4799	242	80	196	223	198	10	20	40	60
39	1_2_49d_425_Mi_Ro.wav	0	0	20	2309	4605	232	91	96	212	98	10	20	40	60
40	1_2_50d_425_Mi_Ro.wav	0	1	20	2371	4598	242	91	196	222	198	10	20	40	60
41	1_3_31c_425_Ja_Ro.wav	0	0	21	2561	4792	232	92	96	213	98	10	20	40	60
42	1_3_32c_425_Ja_Ro.wav	0	1	21	2570	4976	242	92	196	223	198	10	20	40	60
43	1_2_52a_425_Ro_Ja.wav	0	0	22	2550	4708	232	94	96	212	98	10	20	40	60
44	1_2_53a_425_Ro_Ja.wav	3	1	22	2570	4790	242	94	196	222	198	10	20	40	60
45	3_1_22a_525_Ko_Ja.wav	0	0	23	4014	6679	233	87	97	211	99	10	20	40	60
