play_nr	wav_name	exp_code	part_nr	trial_nr	time_transition	time_duration	code_block	code_dialogue	code_tempo	code_turn_transition	code_overlap	left_left_border	left_right_border	right_left_border	right_right_border
1	3_2_19c_425_Ja_Ko.wav	0	0	1	3157	5362	230	86	96	212	99	5	15	30	40
2	3_2_20c_425_Ja_Ko.wav	0	1	1	3165	5317	240	86	196	222	199	5	15	30	40
3	1_3_28c_425_Mi_Ro.wav	0	0	2	2525	4780	230	90	96	213	98	25	35	80	90
4	1_3_29c_425_Mi_Ro.wav	0	1	2	2605	4776	240	90	196	223	198	25	35	80	90
5	3_1_51c_525_Mi_Ro.wav	0	0	3	3987	6695	230	91	97	211	99	35	45	70	80
6	3_1_49c_525_Mi_Ro.wav	0	1	3	3973	6502	240	91	197	221	199	35	45	70	80
7	1_2_7d_525_Ja_Ar.wav	0	0	4	2762	5522	230	80	97	212	98	55	65	80	90
8	1_2_8d_525_Ja_Ar.wav	1	1	4	2792	5387	240	80	197	222	198	55	65	80	90
9	3_3_34b_525_Ro_Ja.wav	0	0	5	4195	6824	231	93	97	213	99	5	15	30	40
10	3_3_35b_525_Ro_Ja.wav	0	1	5	4186	6824	241	93	197	223	199	5	15	30	40
11	3_1_43d_525_Mi_Ko.wav	0	0	6	4023	6654	231	85	97	211	99	5	15	30	40
12	3_1_45d_525_Mi_Ko.wav	0	1	6	3977	6597	241	85	197	221	199	5	15	30	40
13	3_1_49b_525_Ro_Mi.wav	0	0	7	3987	6695	231	91	97	211	99	5	15	30	40
14	3_1_50b_525_Ro_Mi.wav	0	1	7	4049	6757	241	91	197	221	199	5	15	30	40
15	3_2_31a_525_Ro_Ja.wav	0	0	8	3826	6457	231	92	97	212	99	5	15	30	40
16	3_2_32a_525_Ro_Ja.wav	0	1	8	3813	6619	241	92	197	222	199	5	15	30	40
17	3_3_16c_525_Mi_Ko.wav	0	0	9	4212	6783	231	84	97	213	99	5	15	40	50
18	3_3_17c_525_Mi_Ko.wav	0	1	9	4180	6817	241	84	197	223	199	5	15	40	50
19	3_3_22d_525_Ja_Ko.wav	0	0	10	4221	6853	231	87	97	213	99	5	15	40	50
20	3_3_23d_525_Ja_Ko.wav	0	1	10	4145	6807	241	87	197	223	199	5	15	40	50
21	3_2_25d_525_Mi_Ro.wav	0	0	11	3784	6380	231	89	97	212	99	5	15	40	50
22	3_2_26d_525_Mi_Ro.wav	0	1	11	3824	6427	241	89	197	222	199	5	15	40	50
23	3_2_15b_525_Ko_Mi.wav	0	0	12	3825	6601	231	83	97	212	99	5	15	40	50
24	3_2_13b_525_Ko_Mi.wav	0	1	12	3819	6404	241	83	197	222	199	5	15	40	50
25	3_3_28a_525_Ro_Mi.wav	0	0	13	4105	6760	231	90	97	213	99	5	15	50	60
26	3_3_29a_525_Ro_Mi.wav	3	1	13	4185	6756	241	90	197	223	199	5	15	50	60
27	3_1_46a_525_Ko_Ja.wav	0	0	14	3975	6683	232	88	97	211	99	5	15	50	60
28	3_1_47a_525_Ko_Ja.wav	0	1	14	4061	6769	242	88	197	221	199	5	15	50	60
29	3_2_7a_525_Ar_Ja.wav	0	0	15	3864	6548	232	80	97	212	99	5	15	50	60
30	3_2_8a_525_Ar_Ja.wav	0	1	15	3903	6464	242	80	197	222	199	5	15	50	60
31	3_2_1d_525_Mi_Ar.wav	0	0	16	3763	6517	232	77	97	212	99	5	15	50	60
32	3_2_2d_525_Mi_Ar.wav	0	1	16	3865	6538	242	77	197	222	199	5	15	50	60
33	3_2_19c_525_Ja_Ko.wav	0	0	17	3827	6432	232	86	97	212	99	5	15	60	70
34	3_2_20c_525_Ja_Ko.wav	0	1	17	3835	6387	242	86	197	222	199	5	15	60	70
35	3_3_4a_525_Ar_Mi.wav	0	0	18	4215	6800	232	78	97	213	99	5	15	60	70
36	3_3_5a_525_Ar_Mi.wav	0	1	18	4151	6750	242	78	197	223	199	5	15	60	70
37	3_1_40c_525_Ja_Ar.wav	0	0	19	3993	6701	232	82	97	211	99	5	15	60	70
38	3_1_41c_525_Ja_Ar.wav	0	1	19	4028	6626	242	82	197	221	199	5	15	60	70
39	3_3_10b_525_Ar_Ja.wav	0	0	20	4142	6845	232	81	97	213	99	5	15	60	70
40	3_3_11b_525_Ar_Ja.wav	0	1	20	4157	6853	242	81	197	223	199	5	15	60	70
41	3_1_52c_525_Ja_Ro.wav	0	0	21	3973	6531	232	94	97	211	99	15	25	40	50
42	3_1_53c_525_Ja_Ro.wav	0	1	21	3993	6701	242	94	197	221	199	15	25	40	50
43	3_1_37b_525_Ar_Mi.wav	0	0	22	4070	6700	232	79	97	211	99	15	25	40	50
44	3_1_38b_525_Ar_Mi.wav	3	1	22	3988	6658	242	79	197	221	199	15	25	40	50
45	1_3_28b_425_Ro_Mi.wav	0	0	23	2555	4754	233	90	96	213	98	15	25	40	50
46	1_3_29b_425_Ro_Mi.wav	0	1	23	2515	4777	243	90	196	223	198	15	25	40	50
47	1_1_48b_425_Ko_Ja.wav	0	0	24	2514	4769	233	88	96	211	98	15	25	40	50
48	1_1_46b_425_Ko_Ja.wav	0	1	24	2400	4615	243	88	196	221	198	15	25	40	50
49	1_2_21d_425_Ja_Ko.wav	0	0	25	2297	4517	233	86	96	212	98	15	25	50	60
50	1_2_19d_425_Ja_Ko.wav	0	1	25	2385	4578	243	86	196	222	198	15	25	50	60
51	1_1_37c_425_Mi_Ar.wav	0	0	26	2435	4632	233	79	96	211	98	15	25	50	60
52	1_1_38c_425_Mi_Ar.wav	0	1	26	2505	4676	243	79	196	221	198	15	25	50	60
53	1_1_52d_425_Ja_Ro.wav	0	0	27	2464	4734	233	94	96	211	98	15	25	50	60
54	1_1_54d_425_Ja_Ro.wav	0	1	27	2421	4680	243	94	196	221	198	15	25	50	60
55	1_2_13c_425_Mi_Ko.wav	0	0	28	2322	4635	233	83	96	212	98	15	25	50	60
56	1_2_14c_425_Mi_Ko.wav	0	1	28	2282	4446	243	83	196	222	198	15	25	50	60
57	1_3_10c_425_Ja_Ar.wav	0	0	29	2565	4819	233	81	96	213	98	15	25	60	70
