play_nr	wavname	expcode	dialoguenr	trialnr	code_conditie_send	code_overlap_send	code_blok	code_item	code_tempo	code_conditie	code_overlap	left_left_border	left_right_border	right_left_border	right_right_border
53	3_1_1d_425_Mi_Ar.wav	0	0	27	3221	5575	233	77	96	211	99	15	25	50	60
54	3_1_2d_425_Mi_Ar.wav	0	1	27	3323	5596	243	77	196	221	199	15	25	50	60
55	3_3_37b_425_Ar_Mi.wav	0	0	28	3497	5727	233	79	96	213	99	15	25	50	60
56	3_3_38b_425_Ar_Mi.wav	0	1	28	3415	5685	243	79	196	223	199	15	25	50	60
57	3_2_22d_425_Ja_Ko.wav	0	0	29	3236	5468	233	87	96	212	99	15	25	60	70
58	3_2_23d_425_Ja_Ko.wav	0	1	29	3160	5422	243	87	196	222	199	15	25	60	70
59	3_3_52c_425_Ja_Ro.wav	0	0	30	3400	5558	233	94	96	213	99	15	25	60	70
60	3_3_53c_425_Ja_Ro.wav	0	1	30	3420	5640	243	94	196	223	199	15	25	60	70
61	3_3_46a_425_Ko_Ja.wav	0	0	31	3402	5537	233	88	96	213	99	15	25	60	70
62	3_3_47a_425_Ko_Ja.wav	3	1	31	3488	5793	243	88	196	223	199	15	25	60	70
63	3_1_7a_425_Ar_Ja.wav	0	0	32	3322	5606	234	80	96	211	99	15	25	60	70
64	3_1_8a_425_Ar_Ja.wav	0	1	32	3361	5522	244	80	196	221	199	15	25	60	70
65	3_2_16c_425_Mi_Ko.wav	0	0	33	3227	5398	234	84	96	212	99	15	25	70	80
66	3_2_17c_425_Mi_Ko.wav	0	1	33	3195	5432	244	84	196	222	199	15	25	70	80
67	3_3_49b_425_Ro_Mi.wav	0	0	34	3414	5710	234	91	96	213	99	15	25	70	80
68	3_3_50b_425_Ro_Mi.wav	0	1	34	3476	5703	244	91	196	223	199	15	25	70	80
69	3_2_4a_425_Ar_Mi.wav	0	0	35	3230	5415	234	78	96	212	99	15	25	70	80
70	3_2_5a_425_Ar_Mi.wav	0	1	35	3166	5365	244	78	196	222	199	15	25	70	80
71	3_2_10b_425_Ar_Ja.wav	0	0	36	3157	5460	234	81	96	212	99	15	25	70	80
72	3_2_11b_425_Ar_Ja.wav	0	1	36	3172	5468	244	81	196	222	199	15	25	70	80
73	3_3_43d_425_Mi_Ko.wav	0	0	37	3450	5681	234	85	96	213	99	25	35	50	60
74	3_3_45d_425_Mi_Ko.wav	0	1	37	3404	5624	244	85	196	223	199	25	35	50	60
75	3_3_40c_425_Ja_Ar.wav	0	0	38	3420	5675	234	82	96	213	99	25	35	50	60
76	3_3_41c_425_Ja_Ar.wav	0	1	38	3455	5653	244	82	196	223	199	25	35	50	60
77	3_2_34b_425_Ro_Ja.wav	0	0	39	3210	5439	234	93	96	212	99	25	35	50	60
78	3_2_35b_425_Ro_Ja.wav	0	1	39	3201	5439	244	93	196	222	199	25	35	50	60
79	3_1_15b_425_Ko_Mi.wav	0	0	40	3283	5659	234	83	96	211	99	25	35	50	60
80	3_1_13b_425_Ko_Mi.wav	3	1	40	3277	5462	244	83	196	221	199	25	35	50	60
81	1_2_34d_425_Ja_Ro.wav	0	0	41	2360	4589	235	93	96	212	98	25	35	60	70
82	1_2_35d_425_Ja_Ro.wav	0	1	41	2351	4589	245	93	196	222	198	25	35	60	70
83	1_1_31c_425_Ja_Ro.wav	0	0	42	2434	4665	235	92	96	211	98	25	35	60	70
84	1_1_32c_425_Ja_Ro.wav	0	1	42	2443	4849	245	92	196	221	198	25	35	60	70
85	1_2_22b_425_Ko_Ja.wav	0	0	43	2386	4618	235	87	96	212	98	25	35	60	70
86	1_2_23b_425_Ko_Ja.wav	0	1	43	2310	4572	245	87	196	222	198	25	35	60	70
87	1_3_43b_425_Ko_Mi.wav	0	0	44	2600	4831	235	85	96	213	98	25	35	60	70
88	1_3_45b_425_Ko_Mi.wav	0	1	44	2554	4774	245	85	196	223	198	25	35	60	70
89	1_1_19a_425_Ko_Ja.wav	0	0	45	2435	4640	235	86	96	211	98	25	35	70	80
90	1_1_20a_425_Ko_Ja.wav	0	1	45	2443	4595	245	86	196	221	198	25	35	70	80
91	1_2_4c_425_Mi_Ar.wav	0	0	46	2381	4567	235	78	96	212	98	25	35	70	80
92	1_2_5c_425_Mi_Ar.wav	0	1	46	2316	4515	245	78	196	222	198	25	35	70	80
93	1_1_7c_425_Ja_Ar.wav	0	0	47	2472	4756	235	80	96	211	98	25	35	70	80
94	1_1_8c_425_Ja_Ar.wav	0	1	47	2511	4672	245	80	196	221	198	25	35	70	80
95	1_1_1b_425_Ar_Mi.wav	0	0	48	2371	4725	235	77	96	211	98	25	35	70	80
96	1_1_2b_425_Ar_Mi.wav	0	1	48	2473	4746	245	77	196	221	198	25	35	70	80
97	1_3_46c_425_Ja_Ko.wav	0	0	49	2552	4687	235	88	96	213	98	25	35	80	90
98	1_3_47c_425_Ja_Ko.wav	3	1	49	2638	4943	245	88	196	223	198	25	35	80	90
99	1_3_40a_425_Ar_Ja.wav	0	0	50	2570	4825	236	82	96	213	98	25	35	80	90
100	1_3_41a_425_Ar_Ja.wav	0	1	50	2605	4803	246	82	196	223	198	25	35	80	90
101	1_2_16a_425_Ko_Mi.wav	0	0	51	2377	4548	236	84	96	212	98	25	35	80	90
102	1_2_17a_425_Ko_Mi.wav	0	1	51	2345	4582	246	84	196	222	198	25	35	80	90
103	1_3_52a_425_Ro_Ja.wav	0	0	52	2550	4708	236	94	96	213	98	25	35	80	90
104	1_3_53a_425_Ro_Ja.wav	0	1	52	2570	4790	246	94	196	223	198	25	35	80	90
105	1_1_15d_425_Mi_Ko.wav	0	0	53	2433	4809	236	83	96	211	98	35	45	60	70
106	1_1_13d_425_Mi_Ko.wav	0	1	53	2427	4612	246	83	196	221	198	35	45	60	70
107	1_2_28c_425_Mi_Ro.wav	0	0	54	2270	4525	236	90	96	212	98	35	45	60	70
108	1_2_29c_425_Mi_Ro.wav	0	1	54	2350	4521	246	90	196	222	198	35	45	60	70
109	1_3_37d_425_Mi_Ar.wav	0	0	55	2647	4877	236	79	96	213	98	35	45	60	70
110	1_3_38d_425_Mi_Ar.wav	0	1	55	2565	4835	246	79	196	223	198	35	45	60	70
111	1_3_49d_425_Mi_Ro.wav	0	0	56	2564	4860	236	91	96	213	98	35	45	60	70
